#,Category,Difficulty,Dutch,English
1232,VERBS,Separable verbs,tegenkomen,to come across (somebody)/walk into (somebody)
1233,VERBS,Separable verbs,verdergaan,to continue
1234,VERBS,Separable verbs,afrekenen,to pay/settle the bill
1235,VERBS,Separable verbs,afmaken,to finish up
1236,VERBS,Separable verbs,afstuderen,to graduate
1237,VERBS,Separable verbs,doorgeven,to pass along
1238,VERBS,Separable verbs,langskomen,to pass by
1239,VERBS,Separable verbs,meebrengen,to bring with
1240,VERBS,Separable verbs,meedoen,to participate
1241,VERBS,Separable verbs,meegeven,to give with
1242,VERBS,Separable verbs,meekomen,to come along
1243,VERBS,Separable verbs,meekijken,to watch with..
1244,VERBS,Separable verbs,neerleggen,to put down
1245,VERBS,Separable verbs,neerzetten,to put down
1246,VERBS,Separable verbs,omgaan met,to handle
1247,VERBS,Separable verbs,opschrijven,to write down
1248,VERBS,Separable verbs,samenwerken,to cooperate
1249,ADJECTIVES,-,"goed, slecht","good, bad"
1250,ADJECTIVES,-,"groot, klein","big, small"
1251,ADJECTIVES,-,"rijk, arm","rich, poor"
1252,ADJECTIVES,-,"dik, dun","fat, thin"
1253,ADJECTIVES,-,"smal, breed","narrow, wide"
1254,ADJECTIVES,-,"lang, kort","tall, short"
1255,ADJECTIVES,-,"zwaar, licht","heavy, light"
1256,ADJECTIVES,-,"langzaam, snel","slow, fast"
1257,ADJECTIVES,-,"negatief, positief","negative, positive"
1258,ADJECTIVES,-,"vorige, volgende","last, next"
1259,ADJECTIVES,-,"open, dicht","open, closed"
1260,ADJECTIVES,-,"hoog, laag","high, low"
1261,ADJECTIVES,-,"goed, slecht","good, bad"
1262,ADJECTIVES,-,"mooi, lelijk","beautiful, ugly"
1263,ADJECTIVES,-,"schoon, vies","clean, dirty"
1264,ADJECTIVES,-,"dichtbij, ver weg","close by, far away"
1265,ADJECTIVES,-,"moeilijk, makkelijk","difficult, easy"
1266,ADJECTIVES,-,"hard, zacht","hard, soft"
1267,ADJECTIVES,-,"sterk, zwak","strong, weak"
1268,ADJECTIVES,-,"gezond, ziek","healthy, sick"
1269,ADJECTIVES,-,"warm, koud","warm, cold"
1270,ADJECTIVES,-,"hoog, laag","high, low"
1271,ADJECTIVES,-,"mooi, lelijk","pretty, ugly"
1272,ADJECTIVES,-,"lekker, vies","tasty, disgusting"
1273,ADJECTIVES,-,"donker, licht","dark, light"
1274,ADJECTIVES,-,"veel, weinig","much, little"
1275,ADJECTIVES,-,"goedkoop, duur","cheap, expensive"
1276,ADJECTIVES,-,"jong, oud","young, old"
1277,ADJECTIVES,-,"zwart, wit","black, white"
1278,ADJECTIVES,-,"droog, nat","dry, wet"
1279,ADJECTIVES,-,"hetzelfde, anders","the same, different"
1280,ADJECTIVES,-,"nieuw, oud","new, old"
1281,PREPOSITIONS,-,Voor,"in front of, before"
1282,PREPOSITIONS,-,Achter,behind
1283,PREPOSITIONS,-,boven,above
1284,PREPOSITIONS,-,onder,below
1285,PREPOSITIONS,-,bij,at
1286,PREPOSITIONS,-,in,in
1287,PREPOSITIONS,-,tussen,in between
1288,PREPOSITIONS,-,tegenover,opposite
1289,PREPOSITIONS,-,met,with
1290,PREPOSITIONS,-,tegen,against
1291,PREPOSITIONS,-,achter,behind
1292,PREPOSITIONS,-,naast,next to
1293,PREPOSITIONS,-,voor,in front of
1294,PREPOSITIONS,-,op,on
1295,PREPOSITIONS,-,aan,to/attached to
1296,PREPOSITIONS,-,om,around
